Complexity	Model	Value	Type
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.497326516076516	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.661826341128393	Weighted LogLoss
1_modality	Clinical	0.835164835164835	AUROC
1_modality	Clinical	0.56801409835684	AUPRC
1_modality	Clinical	0.644643058892077	Weighted LogLoss
2_modality	ClinicalTranscriptomics	0.835164835164835	AUROC
2_modality	ClinicalTranscriptomics	0.56801409835684	AUPRC
2_modality	ClinicalTranscriptomics	0.621819630552619	Weighted LogLoss
3_modality	ClinicalTranscriptomicsProteomics	0.835164835164835	AUROC
3_modality	ClinicalTranscriptomicsProteomics	0.56801409835684	AUPRC
3_modality	ClinicalTranscriptomicsProteomics	0.633347477609593	Weighted LogLoss
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetb	0.835164835164835	AUROC
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetb	0.56801409835684	AUPRC
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetb	0.63706188816954	Weighted LogLoss
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.835164835164835	AUROC
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.56801409835684	AUPRC
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.624521531370598	Weighted LogLoss
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.835164835164835	AUROC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.56801409835684	AUPRC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.64418973778736	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.835164835164835	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.547700447700448	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.639753921757069	Weighted LogLoss
1_modality	Clinical	0.867724867724868	AUROC
1_modality	Clinical	0.532761286332715	AUPRC
1_modality	Clinical	0.510072634019174	Weighted LogLoss
2_modality	ClinicalMetabolomicsBioc	0.867724867724868	AUROC
2_modality	ClinicalMetabolomicsBioc	0.532761286332715	AUPRC
2_modality	ClinicalMetabolomicsBioc	0.524458814967355	Weighted LogLoss
3_modality	ClinicalProteomicsMetabolomicsBioc	0.855769230769231	AUROC
3_modality	ClinicalProteomicsMetabolomicsBioc	0.559042523892148	AUPRC
3_modality	ClinicalProteomicsMetabolomicsBioc	0.533711373569823	Weighted LogLoss
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBioc	0.855769230769231	AUROC
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBioc	0.577721088435374	AUPRC
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBioc	0.540284231645241	Weighted LogLoss
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBiocOlink	0.846153846153846	AUROC
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBiocOlink	0.555293280089476	AUPRC
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBiocOlink	0.538666667729912	Weighted LogLoss
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.825396825396825	AUROC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.582428048142334	AUPRC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.581592802697937	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.783068783068783	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.508143455594113	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.623744503341033	Weighted LogLoss
1_modality	Clinical	0.870192307692308	AUROC
1_modality	Clinical	0.603570840391493	AUPRC
1_modality	Clinical	0.480175193742102	Weighted LogLoss
2_modality	ClinicalOlink	0.840659340659341	AUROC
2_modality	ClinicalOlink	0.620238095238095	AUPRC
2_modality	ClinicalOlink	0.486546447250518	Weighted LogLoss
3_modality	ClinicalMetabolomicsBiocOlink	0.851851851851852	AUROC
3_modality	ClinicalMetabolomicsBiocOlink	0.58375850340136	AUPRC
3_modality	ClinicalMetabolomicsBiocOlink	0.547097322736596	Weighted LogLoss
4_modality	ClinicalMetabolomicsMetbMetabolomicsBiocOlink	0.835978835978836	AUROC
